date,stock_price
2000-01-01,101.04889100241274
2000-01-02,100.82024543352321
2000-01-03,102.18582339230873
2000-01-04,105.39904242509246
2000-01-05,104.9590719713799
2000-01-06,104.52097241984795
2000-01-07,107.92882699663839
2000-01-08,109.65298474771559
2000-01-09,108.68254563036493
2000-01-10,109.92325146561875
2000-01-11,108.96361884728417
2000-01-12,108.00736933721504
2000-01-13,108.58558944640035
2000-01-14,104.56125792944351
2000-01-15,101.06609849046278
2000-01-16,99.98588166824838
2000-01-17,98.02988393479843
2000-01-18,98.69727300691649
2000-01-19,96.96953290842754
2000-01-20,94.31599197395003
2000-01-21,97.17016664071139
2000-01-22,96.78075966935427
2000-01-23,96.96002448752392
2000-01-24,94.28327469180473
2000-01-25,93.30896178395363
2000-01-26,missing
2000-01-27,91.47948476324075
2000-01-28,92.21554316057762
2000-01-29,91.15997439278132
2000-01-30,90.67503294300442
2000-01-31,89.63518353018793
2000-02-01,93.06456316999336
2000-02-02,93.08597564802828
2000-02-03,91.18307665329125
2000-02-04,92.7418859916812
2000-02-05,90.55010483544632
2000-02-06,90.9746243189398
2000-02-07,87.5217392882963
2000-02-08,85.27006802693225
2000-02-09,85.64927116302223
2000-02-10,86.96711397035048
2000-02-11,87.30933720216028
2000-02-12,87.15119177251592
2000-02-13,86.67126277130738
2000-02-14,84.1879612595219
2000-02-15,83.02610271879193
2000-02-16,82.30585715707996
2000-02-17,84.10657276172815
2000-02-18,84.72892847974641
2000-02-19,81.83428441940235
2000-02-20,82.4076242647495
2000-02-21,81.8162856207934
2000-02-22,80.75645318435406
2000-02-23,missing
2000-02-24,83.5371456259009
2000-02-25,85.1502201986755
2000-02-26,83.7748332063723
2000-02-27,83.29998716848456
2000-02-28,83.89564153236591
2000-02-29,85.59137907228059
2000-03-01,84.81743147725372
2000-03-02,84.54533522352801
2000-03-03,82.73652842653607
2000-03-04,80.82101917905582
2000-03-05,82.18621493676615
2000-03-06,84.48824287181084
2000-03-07,84.40884415170436
2000-03-08,86.16317158634504
2000-03-09,86.83203002451576
2000-03-10,85.7617555837841
2000-03-11,86.42708237569447
2000-03-12,89.17152939441795
2000-03-13,89.15222399520908
2000-03-14,92.03216760156167
2000-03-15,87.37797614312207
2000-03-16,
2000-03-17,89.06997111515899
2000-03-18,88.58318961467597
2000-03-19,88.79029217526713
2000-03-20,85.37266293306317
2000-03-21,85.04091602085735
2000-03-22,85.69330978634217
2000-03-23,88.30817080684461
2000-03-24,87.44125824564034
2000-03-25,86.0817444384211
2000-03-26,85.2648436998313
2000-03-27,86.88368438273734
2000-03-28,87.50056803752368
2000-03-29,86.62167570939377
2000-03-30,87.55922572191662
2000-03-31,87.77326722619033
2000-04-01,89.53502420093167
2000-04-02,88.33079655910345
2000-04-03,87.7977238262597
2000-04-04,87.15545931202418
2000-04-05,84.68369784319783
2000-04-06,85.22932112502171
2000-04-07,85.71832454432749
2000-04-08,85.76996559466441
2000-04-09,85.41119243799005
2000-04-10,83.06884620790524
2000-04-11,82.41412399256654
2000-04-12,81.89210102061838
2000-04-13,80.6288877564663
2000-04-14,80.40941569443433
2000-04-15,81.10237918208269
2000-04-16,84.26242323152515
2000-04-17,missing
2000-04-18,85.07885898742231
2000-04-19,84.99476453364903
2000-04-20,81.83575383539151
2000-04-21,81.83327609012969
2000-04-22,81.97288839421036
2000-04-23,86.15546574744076
2000-04-24,85.86756660964103
2000-04-25,missing
2000-04-26,86.41341220892545
2000-04-27,84.45926413733794
2000-04-28,86.45515093700841
2000-04-29,87.80903975739866
2000-04-30,89.25389782314635
2000-05-01,87.68907714717797
2000-05-02,90.22921174613259
2000-05-03,87.77846600536525
2000-05-04,88.85922274762787
2000-05-05,92.88502732773708
2000-05-06,91.10855763309824
2000-05-07,90.12754033095412
2000-05-08,90.35251106220703
2000-05-09,89.49200540242619
2000-05-10,86.80255246885879
2000-05-11,86.96513463872665
2000-05-12,85.17953562407446
2000-05-13,86.03318220172477
2000-05-14,84.50786244380734
2000-05-15,87.2121158770375
2000-05-16,error
2000-05-17,85.39068062222253
2000-05-18,86.83478697530718
2000-05-19,84.76561920254593
2000-05-20,85.19470000166551
2000-05-21,error
2000-05-22,84.76921241586707
2000-05-23,85.12536845946815
2000-05-24,85.61176786841602
2000-05-25,87.00444473283267
2000-05-26,84.92089635062536
2000-05-27,82.7489280217628
2000-05-28,83.65907347496116
2000-05-29,84.19955064956015
2000-05-30,84.66475857133143
2000-05-31,85.29607213033118
2000-06-01,84.18593893619982
2000-06-02,
2000-06-03,85.1602209632084
2000-06-04,83.99417123233279
2000-06-05,missing
2000-06-06,88.10590483990126
2000-06-07,86.07452450725509
2000-06-08,87.25584560830099
2000-06-09,85.61418001502363
2000-06-10,87.01605273979939
2000-06-11,89.10046269642108
2000-06-12,87.69377191795374
2000-06-13,89.44450737759087
2000-06-14,90.23108783882007
2000-06-15,91.77273282191128
2000-06-16,95.36876224690104
2000-06-17,94.9493244802328
2000-06-18,93.5755002230146
2000-06-19,91.97145993967641
2000-06-20,90.52826344193355
2000-06-21,90.43397902874368
2000-06-22,91.09866140623076
2000-06-23,91.64999561767299
2000-06-24,93.2254349315919
2000-06-25,93.29631672257217
2000-06-26,96.09634777496697
2000-06-27,95.6368469519386
2000-06-28,101.03445098061702
2000-06-29,102.35783952686128
2000-06-30,100.66838049284969
2000-07-01,98.58448569776968
2000-07-02,99.59015871923322
2000-07-03,99.19564339748533
